93, 7, 0, Bask, Pyr, GABA
94, 7, 0, Bask, Pyr, GABA
95, 7, 0, Bask, Pyr, GABA
96, 7, 0, Bask, Pyr, GABA
97, 7, 0, Bask, Pyr, GABA
98, 7, 0, Bask, Pyr, GABA
99, 7, 0, Bask, Pyr, GABA
100, 7, 0, Bask, Pyr, GABA
81, 8, 0, Bask, Pyr, GABA
82, 8, 0, Bask, Pyr, GABA
83, 8, 0, Bask, Pyr, GABA
84, 8, 0, Bask, Pyr, GABA
85, 8, 0, Bask, Pyr, GABA
86, 8, 0, Bask, Pyr, GABA
87, 8, 0, Bask, Pyr, GABA
88, 8, 0, Bask, Pyr, GABA
89, 8, 0, Bask, Pyr, GABA
90, 8, 0, Bask, Pyr, GABA
91, 8, 0, Bask, Pyr, GABA
92, 8, 0, Bask, Pyr, GABA
93, 8, 0, Bask, Pyr, GABA
94, 8, 0, Bask, Pyr, GABA
95, 8, 0, Bask, Pyr, GABA
96, 8, 0, Bask, Pyr, GABA
97, 8, 0, Bask, Pyr, GABA
98, 8, 0, Bask, Pyr, GABA
99, 8, 0, Bask, Pyr, GABA
100, 8, 0, Bask, Pyr, GABA
81, 9, 0, Bask, Pyr, GABA
82, 9, 0, Bask, Pyr, GABA
83, 9, 0, Bask, Pyr, GABA
84, 9, 0, Bask, Pyr, GABA
85, 9, 0, Bask, Pyr, GABA
86, 9, 0, Bask, Pyr, GABA
87, 9, 0, Bask, Pyr, GABA
88, 9, 0, Bask, Pyr, GABA
89, 9, 0, Bask, Pyr, GABA
90, 9, 0, Bask, Pyr, GABA
91, 9, 0, Bask, Pyr, GABA
92, 9, 0, Bask, Pyr, GABA
93, 9, 0, Bask, Pyr, GABA
94, 9, 0, Bask, Pyr, GABA
95, 9, 0, Bask, Pyr, GABA
96, 9, 0, Bask, Pyr, GABA
97, 9, 0, Bask, Pyr, GABA
98, 9, 0, Bask, Pyr, GABA
99, 9, 0, Bask, Pyr, GABA
100, 9, 0, Bask, Pyr, GABA
81, 10, 0, Bask, Pyr, GABA
82, 10, 0, Bask, Pyr, GABA
83, 10, 0, Bask, Pyr, GABA
84, 10, 0, Bask, Pyr, GABA
85, 10, 0, Bask, Pyr, GABA
86, 10, 0, Bask, Pyr, GABA
87, 10, 0, Bask, Pyr, GABA
88, 10, 0, Bask, Pyr, GABA
89, 10, 0, Bask, Pyr, GABA
90, 10, 0, Bask, Pyr, GABA
91, 10, 0, Bask, Pyr, GABA
92, 10, 0, Bask, Pyr, GABA
93, 10, 0, Bask, Pyr, GABA
